# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.cachedValue.from.cache.ms,1717194233712000000,1717194271906000000,0
workspaceModel.check.recursive.update.ms,1717194233712000000,1717194271906000000,0
workspaceModel.cachedValueWithParameters.clear.ms,1717194233712000000,1717194271906000000,0
workspaceModel.to.snapshot.ms,1717194233712000000,1717194271906000000,0
workspaceModel.updates.precise.ms,1717194233712000000,1717194271906000000,0
workspaceModel.init.bridges.ms,1717194233712000000,1717194271906000000,0
workspaceModel.initializing.ms,1717194233712000000,1717194271906000000,0
workspaceModel.collect.changes.ms,1717194233712000000,1717194271906000000,0
workspaceModel.cachedValue.total.get.ms,1717194233712000000,1717194271906000000,0
workspaceModel.pre.handlers.ms,1717194233712000000,1717194271906000000,0
workspaceModel.loading.from.cache.ms,1717194233712000000,1717194271906000000,19
workspaceModel.full.replace.project.model.ms,1717194233712000000,1717194271906000000,0
workspaceModel.update.unloaded.entities.ms,1717194233712000000,1717194271906000000,0
workspaceModel.updates.count,1717194233712000000,1717194271906000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1717194233712000000,1717194271906000000,3
workspaceModel.cachedValueWithParameters.total.get.ms,1717194233712000000,1717194271906000000,0
workspaceModel.updates.ms,1717194233712000000,1717194271906000000,0
workspaceModel.loading.total.ms,1717194233712000000,1717194271906000000,25
workspaceModel.cachedValueWithParameters.calculated.ms,1717194233712000000,1717194271906000000,0
workspaceModel.cachedValue.calculated.ms,1717194233712000000,1717194271906000000,0
workspaceModel.replace.project.model.ms,1717194233712000000,1717194271906000000,0
workspaceModel.cachedValue.clear.ms,1717194233712000000,1717194271906000000,0
workspaceModel.cachedValueWithParameters.from.cache.ms,1717194233712000000,1717194271906000000,0
FlushQueue.waitingTimeMaxNs,1717194233712000000,1717194271906000000,0
FlushQueue.executionTimeMaxNs,1717194233712000000,1717194271906000000,0
FlushQueue.waitingTimeAvgNs,1717194233712000000,1717194271906000000,0.0
AWTEventQueue.dispatchTimeMaxNs,1717194233712000000,1717194271906000000,0
AWTEventQueue.eventsDispatched,1717194233712000000,1717194271906000000,0
AWTEventQueue.dispatchTimeTotalNS,1717194233712000000,1717194271906000000,1135913886
WriteAction.executionsCount,1717194233712000000,1717194271906000000,29
NonBlockingReadAction.failedExecutionTimeUs,1717194233712000000,1717194271906000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1717194233712000000,1717194271906000000,8719
FlushQueue.executionTime90PNs,1717194233712000000,1717194271906000000,0
FlushQueue.tasksExecuted,1717194233712000000,1717194271906000000,0
FlushQueue.queueSizeAvg,1717194233712000000,1717194271906000000,0.0
NonBlockingReadAction.finalizedExecutionsCount,1717194233712000000,1717194271906000000,7
FlushQueue.waitingTime90PNs,1717194233712000000,1717194271906000000,0
NonBlockingReadAction.failedExecutionsCount,1717194233712000000,1717194271906000000,0
FlushQueue.queueSize90P,1717194233712000000,1717194271906000000,0
FlushQueue.queueSizeMax,1717194233712000000,1717194271906000000,0
FlushQueue.executionTimeAvgNs,1717194233712000000,1717194271906000000,0.0
ReadAction.executionsCount,1717194233712000000,1717194271906000000,222657
AWTEventQueue.dispatchTimeAvgNs,1717194233712000000,1717194271906000000,0.0
AWTEventQueue.dispatchTime90PNs,1717194233712000000,1717194271906000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1717194233712000000,1717194271906000000,0
FilePageCacheLockFree.totalBytesRead,1717194233712000000,1717194271906000000,0
FilePageCacheLockFree.totalPagesWriteMs,1717194233712000000,1717194271906000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1717194233712000000,1717194271906000000,0
FilePageCacheLockFree.totalPagesReadMs,1717194233712000000,1717194271906000000,0
StorageLockContext.competingThreads.avg,1717194233712000000,1717194271906000000,0.0
FilePageCache.maxRegisteredFiles,1717194233712000000,1717194271906000000,455
FilePageCache.pageLoadsAboveSizeThreshold,1717194233712000000,1717194271906000000,0
FilePageCacheLockFree.totalBytesRequested,1717194233712000000,1717194271906000000,0
FilePageCacheLockFree.totalPagesRequested,1717194233712000000,1717194271906000000,0
FilePageCacheLockFree.totalPagesAllocated,1717194233712000000,1717194271906000000,0
FilePageCache.maxCacheSizeInBytes,1717194233712000000,1717194271906000000,175112192
FilePageCacheLockFree.totalPagesWritten,1717194233712000000,1717194271906000000,0
FilePageCache.uncachedFileAccess,1717194233712000000,1717194271906000000,94
MappedFileStorage.totalBytesMapped,1717194233712000000,1717194271906000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1717194233712000000,1717194271906000000,0
FilePageCache.pageHits,1717194233712000000,1717194271906000000,0
FilePageCache.capacityInBytes,1717194233712000000,1717194271906000000,503316478
FilePageCache.disposedBuffers,1717194233712000000,1717194271906000000,170
FilePageCacheLockFree.heapBytesInUse,1717194233712000000,1717194271906000000,0
FilePageCacheLockFree.nativeBytesInUse,1717194233712000000,1717194271906000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1717194233712000000,1717194271906000000,0
FilePageCache.totalPageDisposalsUs,1717194233712000000,1717194271906000000,943
FilePageCacheLockFree.totalBytesWritten,1717194233712000000,1717194271906000000,0
DirectByteBufferAllocator.reclaimed,1717194233712000000,1717194271906000000,43
MappedFileStorage.totalTimeSpentOnMappingUs,1717194233712000000,1717194271906000000,6595
DirectByteBufferAllocator.hits,1717194233712000000,1717194271906000000,3
FilePageCacheLockFree.totalHeapBytesReclaimed,1717194233712000000,1717194271906000000,0
MappedFileStorage.storages,1717194233712000000,1717194271906000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1717194233712000000,1717194271906000000,0
FilePageCacheLockFree.totalPagesHandedOver,1717194233712000000,1717194271906000000,0
FilePageCache.totalPageLoadsUs,1717194233712000000,1717194271906000000,96194
FilePageCacheLockFree.housekeeperTimeSpentMs,1717194233712000000,1717194271906000000,0
StorageLockContext.competingThreads.max,1717194233712000000,1717194271906000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1717194233712000000,1717194271906000000,0
MappedFileStorage.totalPagesMapped,1717194233712000000,1717194271906000000,0
